Process Management,Memory Mangagement,File Systems,Device Management,Synchronization and Concurrency,overall
0.16,0.37,0.24,,,0.285
0.65,0.475,,0.6,,0.5333333333333333
0.3,0.3,,0.2,,0.3
,0.6333333333333333,0.68,,0.6333333333333333,0.62
0.2,0.5,0.3,0.8,0.3,0.33
0.48,0.5590909090909091,,0.7,0.7666666666666667,0.5886363636363636
0.284375,0.33249999999999996,,0.6124999999999999,,0.31875
0.625,0.6214285714285714,,1.0,0.55,0.6633333333333333
0.65,0.40555555555555556,,,0.66,0.515625
,0.41025641025641024,0.44285714285714284,,,0.45569620253164556
0.5428571428571428,0.775,,,0.56,0.6133333333333333
,0.5666666666666667,0.5102040816326531,,,0.5333333333333333
0.5555555555555556,0.3157894736842105,,0.25,,0.375
0.4686990464667416,0.504326642434496,0.4273302031518758,0.6589595375722543,0.5841125541125541,0.49347501864280385
