Code,Drawing/Chart,Math,Multiple Choice,Short Answer,overall
0.26,0.36,0.3,,0.24,0.285
0.6,0.43333333333333335,0.5166666666666667,,0.52,0.5333333333333333
0.2,,0.325,,0.26666666666666666,0.3
,0.6599999999999999,0.49499999999999994,,,0.62
,,0.33,,,0.33
,,0.3732,,,0.6052727272727273
,0.31875,0.27125,,,0.31875
1.0,,0.1,,0.7035714285714286,0.6633333333333333
0.59,0.2,0.35,,0.5192307692307693,0.515625
0.8181818181818182,0.4827586206896552,0.3333333333333333,0.45569620253164556,,0.45569620253164556
0.55,1.0,0.725,0.6133333333333333,,0.6133333333333333
,0.3,0.2,0.5333333333333333,,0.5333333333333333
,0.0,0.2857142857142857,0.375,,0.375
