question_type,gpt3.5_pts_earned,bard_pts_earned
q,1,0
q,1,0
q,0,0
mq,0,0
mq,1,0
mq,0,0
mq,0,0
mq,1,0
mq,1,1
q,0,0
mq,1,1
mq,0,0
q,1,1
mq,0,0
q,0,0
mq,1,0
mq,1,1
mq,0,0
q,0,1
qc,1,1
qc,1,1
qc,0,1
qc,1,1
q,1,1
qc,1,1
q,1,1
q,0,1
qc,1,1
qc,1,1
dq,1,1
dq,0,0
dq,1,0
dqc,1,0
q,1,1
q,0,0
qd,1,0
qd,0,1
q,1,1
q,1,0
qm,0,0
qm,1,0
qm,0,0
qm,0,0
qm,1,1
qm,0,0
qm,0,0
qm,0,0
q,1,1
q,0,0
qd,1,0
qd,0,1
qd,0,0
qd,1,1
qd,1,0
qd,1,0
qd,0,0
qd,0,1
qd,0,0
qd,0,1
qdc,1,1
qdc,1,1
qdc,0,0
qd,0,0
qd,0,0
qd,0,1
qd,1,1
qm,1,1
qm,0,1
q,1,0
qdm,0,0
qdm,0,0
qd,1,1
qdm,0,1
qdm,1,1
qdm,1,1
q,0,0
q,1,0
q,1,0
q,0,1
