question_type,os_topic,gpt3.5_pts_earned,bard_pts_earned,gpt4_pts_earned,gemini_pts_earned,claude_pts_earned,bing_pts_earned,llama_pts_earned
q,fm,1,0,1,1,1,1,0
q,fm,1,0,0,0,0,0,0
q,fm,0,0,0,0,0,1,0
m,fm,0,0,0,0,0,1,0
m,fm,1,0,0,1,1,0,1
m,fm,0,0,1,0,0,0,0
m,fm,0,0,1,1,1,1,1
m,fm,1,0,0,0,1,0,0
m,fm,1,1,1,0,0,0,0
q,fm,0,0,1,1,1,0,0
m,fm,1,1,1,1,1,0,0
m,fm,0,0,1,1,1,1,1
q,fm,1,1,1,1,1,1,1
m,fm,0,0,1,1,1,0,1
q,fm,0,0,1,1,1,1,0
m,fm,1,0,1,1,1,1,1
m,fm,1,1,0,1,0,1,0
m,fm,0,0,0,0,1,0,0
q,fm,0,1,0,0,0,0,0
c,fm,1,1,0,1,1,1,1
c,f,1,1,1,1,1,1,1
c,f,0,1,1,1,1,1,1
c,f,1,1,1,1,1,1,1
q,f,1,1,1,1,1,1,1
c,f,1,1,0,1,1,1,1
q,f,1,1,1,1,1,1,1
q,f,0,1,0,0,0,0,0
c,f,1,1,1,1,1,1,1
c,f,1,1,1,1,1,1,1
d,f,1,1,1,1,0,1,0
d,f,0,0,1,1,1,1,1
d,f,1,0,1,1,1,1,0
dc,f,1,0,1,0,1,1,1
q,f,1,1,1,0,1,1,0
q,f,0,0,1,1,1,1,1
d,f,1,0,0,0,0,1,0
d,f,0,1,0,1,1,0,1
q,f,1,1,1,1,1,1,1
q,f,1,0,1,1,1,1,1
m,f,0,0,1,1,0,1,1
m,f,1,0,1,0,1,0,1
m,f,0,0,0,0,0,0,0
m,f,0,0,0,0,0,0,0
m,f,1,1,0,1,0,1,0
m,f,0,0,1,1,1,0,1
m,f,0,0,0,0,0,0,0
m,f,0,0,0,0,0,0,0
q,f,1,1,1,1,1,1,1
q,f,0,0,0,1,1,0,0
d,f,1,0,1,1,1,0,1
d,f,0,1,0,1,1,1,1
d,f,0,0,1,0,0,1,0
d,f,1,1,1,1,1,1,1
d,f,1,0,0,1,0,1,1
d,f,1,0,0,1,0,1,1
d,f,0,0,0,0,1,1,1
d,f,0,1,1,1,1,1,1
d,f,0,0,0,1,0,0,0
d,f,0,1,1,1,0,0,0
dc,f,1,1,1,1,1,1,1
dc,fm,1,1,1,0,1,1,1
dc,fm,0,0,0,0,1,0,0
d,fm,0,0,1,0,1,0,0
d,fm,0,0,0,0,0,0,0
d,fm,0,1,1,1,1,1,1
d,fm,1,1,1,1,1,0,1
m,fm,1,1,1,1,1,0,1
m,fm,0,1,1,1,1,0,0
q,fm,1,0,1,1,1,1,1
dm,fm,0,0,1,1,1,0,0
dm,m,0,0,0,0,0,0,0
d,m,1,1,1,1,0,1,1
dm,m,0,1,1,0,0,0,0
dm,m,1,1,1,1,1,1,0
dm,m,1,1,1,0,0,1,1
q,m,0,0,0,1,0,0,0
q,m,1,0,0,1,0,0,0
q,m,1,0,0,0,1,1,0
q,m,0,1,0,0,0,0,0
