question_type,os_topic,gpt3.5_pts_earned,bard_pts_earned,gpt4_pts_earned
cq,s,1,1,1
cq,s,0,0,1
cq,s,0,0,1
cq,s,1,1,0
cq,s,0,1,0
cq,s,1,1,1
cq,s,1,1,1
cq,s,1,0,1
cq,s,1,0,1
cq,s,1,0,0
cq,s,1,1,1
cq,s,0,1,1
cq,s,1,1,0
cq,s,1,1,1
cq,s,1,1,1
q,s,1,1,1
q,s,1,0,1
q,s,0,0,0
q,s,1,1,1
q,s,0,1,1
cq,p,0,0,1
cq,p,1,1,1
cq,p,1,1,1
cq,p,1,1,1
cq,p,0,0,1
cq,p,1,0,0
cq,p,0,0,0
cq,p,1,1,1
cq,p,1,1,1
cq,p,0,0,0
cq,p,0,1,1
cq,p,1,0,0
cq,p,1,0,0
cq,p,1,0,1
cq,p,0,0,0
cq,p,1,1,1
cq,p,1,0,1
cq,p,1,0,0
cq,p,1,0,1
cq,p,1,1,1
cqm,p,0,1,0
cqm,p,1,1,1
cqm,p,1,1,1
cqm,p,1,1,1
cqm,p,0,1,0
q,p,0,1,1
q,p,0,1,1
q,p,0,0,1
q,p,0,1,1
q,p,0,0,1
q,p,1,1,1
q,p,1,1,1
q,p,1,1,1
q,p,1,0,1
q,p,0,0,1
qm,m,1,1,1
qm,m,1,1,1
qm,m,1,1,1
qm,m,0,0,1
qm,m,1,1,1
qm,m,0,0,1
qm,m,1,1,0
qm,m,0,0,1
qm,m,0,1,1
qm,m,1,0,1
q,m,1,1,1
q,m,1,1,1
q,m,1,1,1
q,m,1,1,0
q,m,0,1,0
qm,m,1,1,1
qm,m,0,0,0
qm,m,1,1,1
qm,m,1,1,1
qm,m,1,1,1
qm,m,0,0,0
qm,m,0,1,0
qm,m,0,0,0
qm,m,0,0,0
qm,m,0,1,0
qm,m,1,1,1
qm,m,1,0,1
qm,m,1,1,1
qm,m,1,1,1
qm,m,1,1,1
q,m,1,1,1
q,m,1,1,1
q,m,0,1,0
q,m,1,1,1
q,m,1,1,1
dqm,m,1,1,1
dqm,m,1,1,1
dqm,m,1,1,1
dqm,m,1,1,1
dqm,m,1,1,1
cq,s,1,1,1
cq,s,1,0,0
cq,s,0,0,0
cq,s,0,0,0
cq,s,0,0,0
cq,s,1,1,1
cq,s,1,1,1
cq,s,1,0,1
cq,s,1,0,1
cq,s,0,0,1
cq,s,0,1,1
cq,s,0,1,1
cq,s,1,1,1
cq,s,0,0,1
cq,s,1,1,0
cq,s,1,0,0
cq,s,0,1,0
cq,s,1,1,1
cq,s,0,1,1
cq,s,1,1,0
cq,s,1,1,1
cq,s,1,0,1
cq,s,0,1,1
cq,s,1,1,1
cq,s,1,1,1
cq,s,0,1,0
cq,s,0,0,0
cq,s,0,0,1
cq,s,1,0,1
cq,s,0,1,0
cqm,s,1,1,1
cqm,s,0,0,1
cqm,s,1,1,1
cqm,s,1,0,1
cqm,s,1,1,1
q,s,1,1,1
q,s,1,1,1
q,s,1,1,1
q,s,1,0,1
q,s,1,0,1
cq,s,0,0,1
cq,s,0,0,1
cq,s,0,0,1
cq,s,1,1,1
cq,s,1,0,1
q,s,0,0,1
q,s,0,0,1
q,s,0,0,1
q,s,1,1,1
q,s,1,1,0
q,s,1,1,1
q,s,0,0,1
q,s,1,1,1
q,s,1,1,1
q,s,0,0,1
