Code,Drawing/Chart,Math,Multiple Choice,Short Answer,overall
0.4,0.42,0.38666666666666666,,0.32,0.37
0.75,0.45,0.4666666666666667,,0.59,0.625
0.375,,0.4875,,0.5333333333333333,0.54
0.6984999999999999,0.715,0.38499999999999995,,,0.685
,,0.25,,,0.25
0.54,,0.06,,0.6857142857142857,0.55
,,,,,0.325
0.65,,0.1,,0.8107142857142857,0.7633333333333333
0.43,0.0,0.32,,0.5423076923076923,0.490625
0.8181818181818182,0.4827586206896552,0.4074074074074074,0.5189873417721519,,0.5189873417721519
0.625,1.0,0.675,0.6333333333333333,,0.6333333333333333
,0.5,0.4,0.6666666666666666,,0.6666666666666666
,0.0,0.5714285714285714,0.5,,0.5
