Process Management,Memory Mangagement,File Systems,Device Management,Synchronization and Concurrency,overall
0.52,0.9,0.16,,,0.62
0.75,0.6375,,0.7,,0.675
0.5,0.55,,0.45,,0.54
,0.8,0.8,,0.7166666666666667,0.755
0.4,0.6,0.43333333333333335,0.85,0.35,0.455
0.82,0.740909090909091,,0.8333333333333334,0.6,0.7522727272727273
0.6124999999999999,0.49,,0.56875,,0.525
0.85,0.7642857142857142,,1.0,0.65,0.8033333333333333
1.0,0.4444444444444444,,,0.75,0.609375
,0.5897435897435898,0.6285714285714286,,,0.6075949367088608
0.7428571428571429,0.75,,,0.7733333333333333,0.76
,0.6,0.673469387755102,,,0.6666666666666666
0.4444444444444444,0.5789473684210527,,1.0,,0.59375
0.7117520813528073,0.657397485185075,0.5225481536578185,0.7704720616570329,0.6573593073593074,0.6575316927665921
