question_type,os_topic,gpt3.5_pts_earned,bard_pts_earned,gpt4_pts_earned,gemini_pts_earned
q,fm,1,0,1,1
q,fm,1,0,0,0
q,fm,0,0,0,0
mq,fm,0,0,0,0
mq,fm,1,0,0,1
mq,fm,0,0,1,0
mq,fm,0,0,1,1
mq,fm,1,0,0,0
mq,fm,1,1,1,0
q,fm,0,0,1,1
mq,fm,1,1,1,1
mq,fm,0,0,1,1
q,fm,1,1,1,1
mq,fm,0,0,1,1
q,fm,0,0,1,1
mq,fm,1,0,1,1
mq,fm,1,1,0,1
mq,fm,0,0,0,0
q,fm,0,1,0,0
qc,fm,1,1,0,1
qc,f,1,1,1,1
qc,f,0,1,1,1
qc,f,1,1,1,1
q,f,1,1,1,1
qc,f,1,1,0,1
q,f,1,1,1,1
q,f,0,1,0,0
qc,f,1,1,1,1
qc,f,1,1,1,1
dq,f,1,1,1,1
dq,f,0,0,1,1
dq,f,1,0,1,1
dqc,f,1,0,1,0
q,f,1,1,1,0
q,f,0,0,1,1
qd,f,1,0,0,0
qd,f,0,1,0,1
q,f,1,1,1,1
q,f,1,0,1,1
qm,f,0,0,1,1
qm,f,1,0,1,0
qm,f,0,0,0,0
qm,f,0,0,0,0
qm,f,1,1,0,1
qm,f,0,0,1,1
qm,f,0,0,0,0
qm,f,0,0,0,0
q,f,1,1,1,1
q,f,0,0,0,1
qd,f,1,0,1,1
qd,f,0,1,0,1
qd,f,0,0,1,0
qd,f,1,1,1,1
qd,f,1,0,0,1
qd,f,1,0,0,1
qd,f,0,0,0,0
qd,f,0,1,1,1
qd,f,0,0,0,1
qd,f,0,1,1,1
qdc,f,1,1,1,1
qdc,fm,1,1,1,0
qdc,fm,0,0,0,0
qd,fm,0,0,1,0
qd,fm,0,0,0,0
qd,fm,0,1,1,1
qd,fm,1,1,1,1
qm,fm,1,1,1,1
qm,fm,0,1,1,1
q,fm,1,0,1,1
qdm,fm,0,0,1,1
qdm,m,0,0,0,0
qd,m,1,1,1,1
qdm,m,0,1,1,0
qdm,m,1,1,1,1
qdm,m,1,1,1,0
q,m,0,0,0,2
q,m,1,0,0,1
q,m,1,0,0,0
q,m,0,1,0,0
