claude_pts_earned,bing_pts_earned,llama_pts_earned
1,1,1
1,1,1
1,1,1
1,0,0
1,0,0
1,1,1
1,1,1
1,1,1
0,1,1
1,1,1
0,1,0
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,0
0,1,1
0,1,0
0,1,1
0,1,1
1,1,0
1,1,0
1,1,1
1,1,1
1,0,1
0,1,0
0,1,0
0,0,0
1,1,1
0,0,0
1,1,1
1,1,1
1,1,0
0,1,0
1,1,1
1,1,1
0,1,0
1,1,1
1,1,1
0,1,0
0,1,1
0,1,1
1,1,1
1,1,1
1,1,0
1,1,0
1,1,1
0,0,0
1,1,1
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,0
1,0,1
0,1,0
0,1,0
1,1,1
1,1,1
1,1,1
1,1,1
1,1,0
0,1,0
0,1,1
0,0,0
1,1,1
1,1,1
1,1,1
0,0,0
0,0,0
0,0,1
0,1,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,0
0,0,1
1,1,1
1,1,1
0,1,0
1,0,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
0,1,0
1,1,0
0,1,0
0,0,1
1,1,1
1,1,0
0,1,1
1,1,1
1,1,1
0,0,0
0,0,0
1,1,1
1,1,1
0,1,1
0,1,1
0,1,1
1,1,1
1,1,1
0,1,1
0,0,1
0,1,1
1,0,0
1,1,0
0,1,1
0,1,1
1,1,0
1,1,0
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,0
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,0
1,1,1
1,1,1
0,1,1
1,1,1
0,0,0
