question_type,os_topic,gpt3.5_pts_earned,bard_pts_earned,gpt4_pts_earned,gemini_pts_earned,claude_pts_earned,bing_pts_earned,llama_pts_earned
c,s,1,1,1,1,1,1,1
c,s,0,0,1,1,1,1,1
c,s,0,0,1,1,1,1,1
c,s,1,1,0,0,1,0,0
c,s,0,1,0,0,1,0,0
c,s,1,1,1,1,1,1,1
c,s,1,1,1,0,1,1,1
c,s,1,0,1,1,1,1,1
c,s,1,0,1,0,0,1,1
c,s,1,0,0,1,1,1,1
c,s,1,1,1,1,0,1,0
c,s,0,1,1,1,1,1,1
c,s,1,1,0,1,1,1,1
c,s,1,1,1,1,1,1,1
c,s,1,1,1,1,1,1,1
q,s,1,1,1,1,1,1,1
q,s,1,0,1,0,0,0,1
q,s,0,0,0,0,0,0,0
q,s,1,1,1,1,0,1,1
q,s,0,1,1,1,0,1,0
c,p,0,0,1,0,0,1,1
c,p,1,1,1,0,0,1,1
c,p,1,1,1,1,1,1,0
c,p,1,1,1,1,1,1,0
c,p,0,0,1,1,1,1,1
c,p,1,0,0,1,1,1,1
c,p,0,0,0,0,1,0,1
c,p,1,1,1,1,0,1,0
c,p,1,1,1,1,0,1,0
c,p,0,0,0,0,0,0,0
c,p,0,1,1,1,1,1,1
c,p,1,0,0,1,0,0,0
c,p,1,0,0,1,1,1,1
c,p,1,0,1,1,1,1,1
c,p,0,0,0,1,1,1,0
c,p,1,1,1,1,0,1,0
c,p,1,0,1,0,1,1,1
c,p,1,0,0,1,1,1,1
c,p,1,0,1,0,0,1,0
c,p,1,1,1,1,1,1,1
cm,p,0,1,0,0,1,1,1
cm,p,1,1,1,1,0,1,0
cm,p,1,1,1,1,0,1,1
cm,p,1,1,1,1,0,1,1
cm,p,0,1,0,0,1,1,1
q,p,0,1,1,1,1,1,1
q,p,0,1,1,1,1,1,0
q,p,0,0,1,1,1,1,0
q,p,0,1,1,1,1,1,1
q,p,0,0,1,0,0,0,0
q,p,1,1,1,1,1,1,1
q,p,1,1,1,1,0,1,1
q,p,1,1,1,1,1,1,1
q,p,1,0,1,1,1,1,1
q,p,0,0,1,1,1,1,1
m,m,1,1,1,1,1,1,1
m,m,1,1,1,1,1,1,1
m,m,1,1,1,1,1,1,1
m,m,0,0,1,1,1,1,1
m,m,1,1,1,1,1,1,1
m,m,0,0,1,0,0,1,0
m,m,1,1,0,1,1,0,1
m,m,0,0,1,0,0,1,0
m,m,0,1,1,0,0,1,0
m,m,1,0,1,1,1,1,1
q,m,1,1,1,1,1,1,1
q,m,1,1,1,1,1,1,1
q,m,1,1,1,1,1,1,1
q,m,1,1,0,0,1,1,0
q,m,0,1,0,0,0,1,0
m,m,1,1,1,1,0,1,1
m,m,0,0,0,1,0,0,0
m,m,1,1,1,1,1,1,1
m,m,1,1,1,1,1,1,1
m,m,1,1,1,1,1,1,1
m,m,0,0,0,0,0,0,0
m,m,0,1,0,0,0,0,0
m,m,0,0,0,0,0,0,1
m,m,0,0,0,0,0,1,1
m,m,0,1,0,0,0,0,1
m,m,1,1,1,1,0,0,1
m,m,1,0,1,1,1,1,1
m,m,1,1,1,1,1,1,1
m,m,1,1,1,0,1,1,0
m,m,1,1,1,0,0,0,1
q,m,1,1,1,1,1,1,1
q,m,1,1,1,1,1,1,1
q,m,0,1,0,0,0,1,0
q,m,1,1,1,1,1,0,1
q,m,1,1,1,1,1,1,1
dm,m,1,1,1,1,1,1,1
dm,m,1,1,1,1,1,1,1
dm,m,1,1,1,1,1,1,1
dm,m,1,1,1,1,1,1,1
dm,m,1,1,1,0,1,1,1
c,s,1,1,1,1,1,1,1
c,s,1,0,0,1,0,0,0
c,s,0,0,0,1,0,0,0
c,s,0,0,0,1,0,0,0
c,s,0,0,0,1,0,0,0
c,s,1,1,1,0,1,1,1
c,s,1,1,1,1,0,1,0
c,s,1,0,1,1,1,1,0
c,s,1,0,1,1,0,1,0
c,s,0,0,1,1,0,0,1
c,s,0,1,1,1,1,1,1
c,s,0,1,1,0,1,1,0
c,s,1,1,1,1,0,1,1
c,s,0,0,1,1,1,1,1
c,s,1,1,0,1,1,1,1
c,s,1,0,0,0,0,0,0
c,s,0,1,0,0,0,0,0
c,s,1,1,1,1,1,1,1
c,s,0,1,1,1,1,1,1
c,s,1,1,0,0,0,1,1
c,s,1,1,1,1,0,1,1
c,s,1,0,1,1,0,1,1
c,s,0,1,1,1,1,1,1
c,s,1,1,1,1,1,1,1
c,s,1,1,1,1,0,1,1
c,s,0,1,0,0,0,0,1
c,s,0,0,0,0,0,1,1
c,s,0,0,1,1,1,0,0
c,s,1,0,1,1,1,1,0
c,s,0,1,0,0,0,1,1
cm,s,1,1,1,1,0,1,1
cm,s,0,0,1,1,1,1,0
cm,s,1,1,1,1,1,1,0
cm,s,1,0,1,1,1,1,1
cm,s,1,1,1,1,1,1,1
q,s,1,1,1,1,1,1,1
q,s,1,1,1,1,1,1,1
q,s,1,1,1,1,1,1,1
q,s,1,0,1,1,1,1,1
q,s,1,0,1,1,1,1,1
c,s,0,0,1,1,1,1,1
c,s,0,0,1,1,1,1,1
c,s,0,0,1,1,1,1,1
c,s,1,1,1,1,1,1,0
c,s,1,0,1,1,1,1,1
q,s,0,0,1,1,1,1,1
q,s,0,0,1,1,1,1,1
q,s,0,0,1,1,1,1,1
q,s,1,1,1,1,1,1,1
q,s,1,1,0,1,0,0,0
q,s,1,1,1,0,1,1,1
q,s,0,0,1,1,1,1,1
q,s,1,1,1,1,0,1,1
q,s,1,1,1,1,1,1,1
q,s,0,0,1,0,0,0,0
