question_type,os_topic,gpt3.5_pts_earned,bard_pts_earned,gpt4_pts_earned,gemini_pts_earned,claude_pts_earned,bing_pts_earned,llama_pts_earned
q,m,1,1,1,1,1,1,1
q,m,1,1,1,1,1,1,1
q,m,1,1,1,1,1,1,1
q,m,1,1,1,1,1,1,1
d,m,1,1,0,0,0,0,0
d,m,1,0,0,0,1,0,0
d,m,0,0,0,1,0,0,0
d,m,0,0,0,1,1,1,0
q,m,1,1,1,1,1,1,0
q,m,1,0,1,0,1,1,0
q,m,1,1,1,1,1,1,1
m,fm,1,1,1,0,0,0,1
m,fm,1,0,0,0,1,0,0
dm,fm,0,0,1,0,0,1,0
m,fm,0,0,1,1,1,1,0
q,fm,0,0,0,1,0,0,0
q,fm,1,1,1,1,0,1,1
m,fm,0,0,1,0,0,1,0
m,fm,0,0,0,0,0,0,0
q,fm,1,1,0,1,1,1,0
q,fm,1,1,1,1,1,1,1
q,fm,1,1,1,1,1,1,1
q,fm,0,1,1,1,1,1,0
q,fm,1,1,1,1,1,1,1
q,fm,1,1,1,1,1,1,1
md,fm,1,0,0,0,0,0,0
md,fm,0,0,0,1,0,0,0
md,fm,0,1,1,0,0,1,0
m,fm,1,0,0,1,1,1,0
m,fm,1,1,0,1,0,0,0
q,f,1,1,1,1,1,1,1
m,f,1,0,0,1,1,1,0
m,f,0,0,1,0,0,1,0
q,f,1,1,1,1,1,1,1
q,f,1,0,1,1,1,1,0
m,f,0,0,0,0,0,0,0
q,f,1,0,1,1,1,1,1
q,f,0,0,0,0,0,0,0
d,f,1,0,1,1,1,1,1
d,f,1,1,1,1,1,1,0
q,f,1,0,0,0,0,0,0
q,f,0,0,0,1,0,0,1
q,f,1,0,0,0,0,1,1
q,f,1,1,1,1,1,1,1
q,f,0,1,1,1,1,1,1
q,f,1,0,1,1,1,1,1
q,f,1,1,1,1,1,1,1
q,f,0,1,1,1,1,1,0
m,f,0,0,1,1,1,1,0
q,f,1,1,1,0,1,1,1
q,f,1,1,1,1,1,1,0
q,f,1,1,1,1,1,1,0
q,f,1,1,1,1,1,1,0
q,f,0,1,1,1,1,1,0
q,f,1,1,1,1,1,1,1
q,f,1,0,1,1,1,1,0
q,f,1,1,1,1,1,1,1
q,f,0,0,0,1,0,0,0
q,f,0,0,0,0,0,1,0
q,f,1,1,1,1,1,1,1
